Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,All Sites,546.0,26.9,494.5,601,455,1.089,0.9842,1.2014,0.0985,"143,423",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,All Sites,335.3,111.2,154,617.7,11,0.6687,0.3071,1.2327,0.2299,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,All Sites,272.2,27.2,221.4,330.2,131,0.5429,0.4412,0.6595,0.0000,"83,752",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,All Sites,333.8,29.2,279,395.1,202,0.6658,0.5558,0.7892,0.0000,"164,122",1
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,All Sites,559.9,8.5,543.3,576.8,"4,606",,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,All Sites,636.2,46.6,548.2,733.4,232,1.1364,0.9762,1.3144,0.0988,"72,531",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,All Sites,537.3,233.3,181.9,"1,151.50",6,0.9596,0.3247,2.0583,0.9948,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,All Sites,348.2,48.7,259.3,456,78,0.6219,0.4624,0.816,0.0003,"41,086",1
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,All Sites,350.3,46.8,264.7,452.1,91,0.6257,0.472,0.8092,0.0002,"86,055",1
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,All Sites,465.9,6.9,452.6,479.6,"4,796",,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,All Sites,491.4,33.8,427.3,561.7,223,1.0546,0.9143,1.2096,0.4689,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,All Sites,240.3,133.6,53.6,634.2,5,0.5157,0.115,1.3621,0.2309,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,All Sites,210.8,33.2,150.7,284.7,53,0.4523,0.323,0.612,0.0000,"42,666",1
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,All Sites,326.2,37.1,257.4,406.3,111,0.7,0.5515,0.8738,0.0011,"78,067",1
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,All Sites,476.9,4.9,467.3,486.6,"9,939",,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,All Sites,596.9,28.2,543,654.3,555,1.2518,1.1362,1.3753,0.0000,"171,274",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,All Sites,639.9,153.1,375.9,"1,031.80",22,1.342,0.7879,2.1649,0.2761,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,All Sites,391.9,29.2,336.7,452.8,232,0.8218,0.705,0.951,0.0077,"111,119",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,All Sites,392.8,30.3,335.5,455.8,280,0.8237,0.7027,0.9572,0.0107,"198,954",1
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,All Sites,527.7,7.8,512.6,543.2,"4,967",,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,All Sites,659.7,47.9,569.2,759.2,271,1.25,1.0754,1.4431,0.0039,"87,048",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,All Sites,607.2,214.5,262.4,"1,228.30",10,1.1506,0.4968,2.3294,0.7887,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,All Sites,426.4,47.1,339,527.7,113,0.808,0.6412,1.002,0.0523,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,All Sites,394.8,45.6,310.6,492.1,125,0.7482,0.5875,0.9343,0.0095,"103,300",1
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,All Sites,445.1,6.5,432.5,458,"4,972",,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,All Sites,565.3,36,497,639.8,284,1.2702,1.113,1.4423,0.0004,"84,226",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,All Sites,647.5,209,305,"1,334.80",12,1.4549,0.6847,3.0013,0.3265,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,All Sites,370.1,37.7,300,450.4,119,0.8315,0.6726,1.0143,0.0698,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,All Sites,403.1,41.6,325.6,491.4,155,0.9056,0.7302,1.1065,0.3466,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,All Sites,492.0,4.7,482.7,501.4,"11,346",,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,All Sites,637.5,28.4,583,695.2,680,1.2957,1.1826,1.4161,0.0000,"199,321",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,All Sites,"1,578.8",354.7,961.9,"2,482.20",29,3.2092,1.9543,5.0477,0.0000,"4,957",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,All Sites,367.6,25.7,319,421,268,0.7473,0.6476,0.8569,0.0000,"132,262",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,All Sites,394.2,24.5,347.7,444.6,413,0.8013,0.7057,0.9052,0.0003,"240,639",1
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,All Sites,520.0,7.2,505.9,534.4,"5,541",,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,All Sites,805.6,54.5,702.2,918.3,372,1.5492,1.3466,1.7712,0.0000,"102,863",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,All Sites,"1,545.9",525.5,693.8,"2,903.20",13,2.9729,1.3335,5.5872,0.0095,"2,289",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,All Sites,449.5,46,363.8,547.3,130,0.8643,0.6982,1.0546,0.1568,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,All Sites,392.7,36.5,324.4,469.5,193,0.7552,0.6226,0.9049,0.0019,"124,784",1
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,All Sites,480.0,6.5,467.4,493,"5,805",,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,All Sites,534.6,33.6,470.9,604,308,1.1137,0.9781,1.262,0.1038,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,All Sites,"1,654.4",512.8,807.1,"2,899.50",16,3.4464,1.6803,6.0447,0.0014,"2,668",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,All Sites,314.8,30,258.8,378.6,138,0.6557,0.5381,0.7904,0.0000,"65,922",1
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,All Sites,407.6,34.1,343.5,479.1,220,0.849,0.7141,1.0004,0.0506,"115,855",0
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,All Sites,489.9,1.9,486.3,493.6,"71,532",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,All Sites,544.0,20.9,503.7,586.3,770,1.1103,1.0278,1.1973,0.0081,"297,762",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,All Sites,560.8,62.5,445.1,694.6,111,1.1447,0.9083,1.418,0.2509,"41,129",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,All Sites,290.1,22.5,247.6,337.4,243,0.5921,0.5053,0.6889,0.0000,"172,165",1
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,All Sites,267.6,14.2,240.6,296.6,478,0.5463,0.491,0.6057,0.0000,"463,782",1
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,All Sites,571.1,3,565.3,577,"37,280",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,All Sites,680.3,36.1,611.4,754.3,451,1.1912,1.07,1.3215,0.0015,"158,622",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,All Sites,595.4,111.2,397.7,847.8,49,1.0426,0.6963,1.4848,0.8737,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,All Sites,360.1,42.6,281.4,452,108,0.6305,0.4927,0.7916,0.0000,"85,399",1
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,All Sites,306.0,23.2,262.1,354.4,247,0.5358,0.4588,0.6207,0.0000,"248,052",1
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,All Sites,434.1,2.4,429.4,438.9,"34,252",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,All Sites,429.7,24.9,382.3,481,319,0.9899,0.8802,1.1086,0.8793,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,All Sites,543.6,79.9,398.4,719.6,62,1.2521,0.9175,1.6581,0.1545,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,All Sites,254.2,26.6,204.7,312,135,0.5855,0.4714,0.7188,0.0000,"86,766",1
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,All Sites,240.6,17.8,207,277.7,231,0.5543,0.4767,0.64,0.0000,"215,730",1
Non-Hispanic White,White,2008-2012,Male and Female,Not Polk,Not Polk,All Sites,490.6,1.8,487,494.2,"74,629",,,,,"11,867,227",
Non-Hispanic Black,Black,2008-2012,Male and Female,Not Polk,Not Polk,All Sites,525.2,18.8,489.1,563.1,943,1.0707,0.9967,1.1484,0.0615,"369,675",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Not Polk,All Sites,589.4,54.3,487.8,704.7,157,1.2015,0.9941,1.4367,0.0574,"43,241",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Not Polk,All Sites,327.4,20.8,288,370.3,347,0.6674,0.5869,0.7551,0.0000,"214,229",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,Not Polk,Not Polk,All Sites,265.9,12.2,242.4,290.8,664,0.542,0.4941,0.5929,0.0000,"597,466",1
Non-Hispanic White,White,2008-2012,Male,Not Polk,Not Polk,All Sites,554.6,2.9,549.1,560.3,"38,872",,,,,"5,854,720",
Non-Hispanic Black,Black,2008-2012,Male,Not Polk,Not Polk,All Sites,602.9,31.1,543.5,666.5,523,1.087,0.9794,1.2024,0.1165,"197,713",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,Not Polk,Not Polk,All Sites,610.7,87.3,451.7,804.7,77,1.101,0.8143,1.4512,0.5392,"21,165",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,Not Polk,Not Polk,All Sites,403.4,41,327.1,490.4,156,0.7274,0.5895,0.8844,0.0011,"106,882",1
Hispanic (All Races),Hispanic,2008-2012,Male,Not Polk,Not Polk,All Sites,299.1,20.5,260.3,341.4,321,0.5392,0.4691,0.6158,0.0000,"315,744",1
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,All Sites,445.6,2.5,440.7,450.4,"35,757",,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,All Sites,465.3,24,419.5,514.4,420,1.0444,0.941,1.1552,0.4156,"171,962",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,All Sites,568.6,70.5,438.9,722.2,80,1.2761,0.9849,1.6213,0.0648,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,All Sites,289.8,23.7,245.2,339.8,191,0.6504,0.5502,0.763,0.0000,"107,347",1
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,All Sites,247.9,15.4,218.7,279.7,343,0.5564,0.4905,0.6282,0.0000,"281,722",1
Non-Hispanic White,White,2013-2017,Male and Female,Not Polk,Not Polk,All Sites,496.4,1.8,492.8,500,"78,139",,,,,"11,826,215",
Non-Hispanic Black,Black,2013-2017,Male and Female,Not Polk,Not Polk,All Sites,498.9,15.6,468.8,530.3,"1,223",1.0051,0.9441,1.0689,0.8795,"454,551",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Not Polk,All Sites,542.7,41.6,464.2,630.3,202,1.0933,0.9351,1.2701,0.2628,"45,872",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Not Polk,All Sites,277.3,14.8,249,307.8,451,0.5586,0.5014,0.6202,0.0000,"291,193",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,Not Polk,Not Polk,All Sites,266.6,10,247.4,286.8,963,0.5372,0.4983,0.5781,0.0000,"720,568",1
Non-Hispanic White,White,2013-2017,Male,Not Polk,Not Polk,All Sites,541.2,2.8,535.7,546.6,"40,386",,,,,"5,869,665",
Non-Hispanic Black,Black,2013-2017,Male,Not Polk,Not Polk,All Sites,583.5,25.1,535.4,634.5,712,1.0782,0.9887,1.1732,0.0884,"244,333",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,Not Polk,Not Polk,All Sites,553.5,64.4,434.6,694.2,93,1.0229,0.8029,1.2831,0.8771,"22,541",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,Not Polk,Not Polk,All Sites,273.1,24.6,227,325,181,0.5047,0.4194,0.6007,0.0000,"147,414",1
Hispanic (All Races),Hispanic,2013-2017,Male,Not Polk,Not Polk,All Sites,296.1,16.2,265.2,329.3,491,0.5472,0.4898,0.6088,0.0000,"377,294",1
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,All Sites,466.6,2.5,461.6,471.6,"37,753",,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,All Sites,425.4,20,387.1,466.2,511,0.9118,0.8292,0.9999,0.0498,"210,218",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,All Sites,539.6,55,437.2,658.6,109,1.1565,0.9367,1.4119,0.1751,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,All Sites,287.8,19.2,251.3,327.8,270,0.6168,0.5384,0.7029,0.0000,"143,779",1
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,All Sites,247.0,12.7,222.8,273,472,0.5294,0.4772,0.5855,0.0000,"343,274",1
Non-Hispanic White,White,2018-2022,Male and Female,Not Polk,Not Polk,All Sites,503.4,1.8,499.8,507,"82,697",,,,,"11,700,594",
Non-Hispanic Black,Black,2018-2022,Male and Female,Not Polk,Not Polk,All Sites,529.5,14.5,501.4,558.6,"1,560",1.0518,0.9956,1.1102,0.0714,"546,906",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Not Polk,All Sites,517.6,35.7,450,592.3,229,1.0282,0.8937,1.1769,0.7057,"49,345",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Not Polk,All Sites,291.9,12.6,267.8,317.5,639,0.5799,0.5318,0.631,0.0000,"336,483",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,Not Polk,Not Polk,All Sites,282.3,8.9,265.1,300.3,"1,294",0.5609,0.5265,0.5968,0.0000,"843,681",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,All Sites,551.3,2.7,545.9,556.6,"43,806",,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,All Sites,603.5,22.6,559.9,649.3,901,1.0947,1.0151,1.1787,0.0190,"293,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,All Sites,596.4,58.5,487.3,721.7,116,1.082,0.8838,1.3096,0.4478,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,All Sites,258.1,19.5,221.2,298.9,240,0.4682,0.4012,0.5425,0.0000,"170,572",1
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,All Sites,287.1,13.5,261.3,314.6,625,0.5209,0.4738,0.5709,0.0000,"441,297",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,All Sites,469.5,2.6,464.6,474.6,"38,891",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,All Sites,460.9,19,424.5,499.4,659,0.9816,0.9034,1.0644,0.6655,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,All Sites,458.8,44.7,375.5,555.2,113,0.9772,0.7995,1.1829,0.8636,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,All Sites,327.8,17.4,294.6,363.5,399,0.6981,0.6271,0.7746,0.0000,"165,911",1
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,All Sites,284.3,12.1,261.1,308.9,669,0.6055,0.5556,0.6584,0.0000,"402,384",1
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,82.1,2.2,77.8,86.6,"1,382",,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,109.3,13.1,85.2,137.7,72,1.332,1.0317,1.6889,0.0282,"115,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,201.0,112.3,44.4,511.6,4,2.4489,0.5403,6.2465,0.2320,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,22.3,10.8,6.4,51.7,6,0.2721,0.0779,0.6316,0.0007,"67,567",1
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,31.4,11.7,12.9,61.3,8,0.3832,0.157,0.7484,0.0027,"120,193",1
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,99.2,3.8,91.9,107,706,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,152.2,24.9,107.4,208.2,43,1.5344,1.0729,2.12,0.0197,"57,878",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,33.4,33.4,0.8,315.7,1,0.3363,0.0085,3.1914,0.6947,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,51.9,29.8,10.8,133.8,5,0.5236,0.109,1.3541,0.2113,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,13.5,10.5,1.2,56.6,2,0.1358,0.0119,0.5729,0.0015,"64,203",1
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,70.4,2.7,65.1,76,676,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,80.9,15.1,54,115.5,29,1.1493,0.7613,1.657,0.5181,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,442.7,266.5,83,"1,190.00",3,6.2896,1.1768,16.9743,0.0337,"3,000",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,3.9,3.9,0.1,26.5,1,0.0557,0.0014,0.3778,0.0000,"34,318",1
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,49.4,20.9,17.3,103.2,6,0.7016,0.2454,1.4743,0.4012,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,76.1,2.1,72.1,80.2,"1,405",,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,98.9,12,76.7,124.9,73,1.2999,1.0028,1.6526,0.0476,"143,423",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,124.9,72.3,25.6,336.4,3,1.6419,0.3362,4.4317,0.5559,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,53.5,13.2,30.9,84.5,20,0.7029,0.4046,1.1154,0.1464,"83,752",0
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,52.0,13.6,28.8,83.7,18,0.6829,0.3776,1.1047,0.1284,"164,122",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,89.0,3.5,82.4,96,708,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,118.4,21.8,79.6,167.8,37,1.3303,0.8868,1.9034,0.1659,"72,531",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,171.0,124.7,18.7,572.2,2,1.9213,0.2102,6.4523,0.5821,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,79.8,21.8,42.9,135.4,15,0.8961,0.4799,1.5313,0.7850,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,66.7,23.8,28.5,125.7,10,0.7489,0.3193,1.4206,0.4182,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,67.3,2.6,62.3,72.6,697,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,88.4,15,61.4,122.2,36,1.3123,0.904,1.8329,0.1515,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,119.0,119,3,505.9,1,1.7667,0.0447,7.5378,0.8652,"3,049",0
