Group,Year,Sex,Polk,Site,Cancer,p
Black,2013-2017,Female,Polk County,All Sites,565.30,0.0004
American Indian/Alaska Native,2013-2017,Female,Polk County,All Sites,647.50,0.3265
Asian or Pacific Islander,2013-2017,Female,Polk County,All Sites,370.10,0.0698
Hispanic,2013-2017,Female,Polk County,All Sites,403.10,0.3466
White,2018-2022,Male and Female,Polk County,All Sites,492.00,
Black,2018-2022,Male and Female,Polk County,All Sites,637.50,0.0000
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,All Sites,"1,578.80",0.0000
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,All Sites,367.60,0.0000
Hispanic,2018-2022,Male and Female,Polk County,All Sites,394.20,0.0003
White,2018-2022,Male,Polk County,All Sites,520.00,
Black,2018-2022,Male,Polk County,All Sites,805.60,0.0000
American Indian/Alaska Native,2018-2022,Male,Polk County,All Sites,"1,545.90",0.0095
Asian or Pacific Islander,2018-2022,Male,Polk County,All Sites,449.50,0.1568
Hispanic,2018-2022,Male,Polk County,All Sites,392.70,0.0019
White,2018-2022,Female,Polk County,All Sites,480.00,
Black,2018-2022,Female,Polk County,All Sites,534.60,0.1038
American Indian/Alaska Native,2018-2022,Female,Polk County,All Sites,"1,654.40",0.0014
Asian or Pacific Islander,2018-2022,Female,Polk County,All Sites,314.80,0.0000
Hispanic,2018-2022,Female,Polk County,All Sites,407.60,0.0506
White,2003-2007,Male and Female,Not Polk,All Sites,489.90,
Black,2003-2007,Male and Female,Not Polk,All Sites,544.00,0.0081
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,All Sites,560.80,0.2509
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,All Sites,290.10,0.0000
Hispanic,2003-2007,Male and Female,Not Polk,All Sites,267.60,0.0000
White,2003-2007,Male,Not Polk,All Sites,571.10,
Black,2003-2007,Male,Not Polk,All Sites,680.30,0.0015
American Indian/Alaska Native,2003-2007,Male,Not Polk,All Sites,595.40,0.8737
Asian or Pacific Islander,2003-2007,Male,Not Polk,All Sites,360.10,0.0000
Hispanic,2003-2007,Male,Not Polk,All Sites,306.00,0.0000
White,2003-2007,Female,Not Polk,All Sites,434.10,
Black,2003-2007,Female,Not Polk,All Sites,429.70,0.8793
American Indian/Alaska Native,2003-2007,Female,Not Polk,All Sites,543.60,0.1545
Asian or Pacific Islander,2003-2007,Female,Not Polk,All Sites,254.20,0.0000
Hispanic,2003-2007,Female,Not Polk,All Sites,240.60,0.0000
White,2008-2012,Male and Female,Not Polk,All Sites,490.60,
Black,2008-2012,Male and Female,Not Polk,All Sites,525.20,0.0615
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,All Sites,589.40,0.0574
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,All Sites,327.40,0.0000
Hispanic,2008-2012,Male and Female,Not Polk,All Sites,265.90,0.0000
White,2008-2012,Male,Not Polk,All Sites,554.60,
Black,2008-2012,Male,Not Polk,All Sites,602.90,0.1165
American Indian/Alaska Native,2008-2012,Male,Not Polk,All Sites,610.70,0.5392
Asian or Pacific Islander,2008-2012,Male,Not Polk,All Sites,403.40,0.0011
Hispanic,2008-2012,Male,Not Polk,All Sites,299.10,0.0000
White,2008-2012,Female,Not Polk,All Sites,445.60,
Black,2008-2012,Female,Not Polk,All Sites,465.30,0.4156
American Indian/Alaska Native,2008-2012,Female,Not Polk,All Sites,568.60,0.0648
Asian or Pacific Islander,2008-2012,Female,Not Polk,All Sites,289.80,0.0000
Hispanic,2008-2012,Female,Not Polk,All Sites,247.90,0.0000
White,2013-2017,Male and Female,Not Polk,All Sites,496.40,
Black,2013-2017,Male and Female,Not Polk,All Sites,498.90,0.8795
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,All Sites,542.70,0.2628
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,All Sites,277.30,0.0000
Hispanic,2013-2017,Male and Female,Not Polk,All Sites,266.60,0.0000
White,2013-2017,Male,Not Polk,All Sites,541.20,
Black,2013-2017,Male,Not Polk,All Sites,583.50,0.0884
American Indian/Alaska Native,2013-2017,Male,Not Polk,All Sites,553.50,0.8771
Asian or Pacific Islander,2013-2017,Male,Not Polk,All Sites,273.10,0.0000
Hispanic,2013-2017,Male,Not Polk,All Sites,296.10,0.0000
White,2013-2017,Female,Not Polk,All Sites,466.60,
Black,2013-2017,Female,Not Polk,All Sites,425.40,0.0498
American Indian/Alaska Native,2013-2017,Female,Not Polk,All Sites,539.60,0.1751
Asian or Pacific Islander,2013-2017,Female,Not Polk,All Sites,287.80,0.0000
Hispanic,2013-2017,Female,Not Polk,All Sites,247.00,0.0000
White,2018-2022,Male and Female,Not Polk,All Sites,503.40,
Black,2018-2022,Male and Female,Not Polk,All Sites,529.50,0.0714
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,All Sites,517.60,0.7057
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,All Sites,291.90,0.0000
Hispanic,2018-2022,Male and Female,Not Polk,All Sites,282.30,0.0000
White,2018-2022,Male,Not Polk,All Sites,551.30,
Black,2018-2022,Male,Not Polk,All Sites,603.50,0.0190
American Indian/Alaska Native,2018-2022,Male,Not Polk,All Sites,596.40,0.4478
Asian or Pacific Islander,2018-2022,Male,Not Polk,All Sites,258.10,0.0000
Hispanic,2018-2022,Male,Not Polk,All Sites,287.10,0.0000
White,2018-2022,Female,Not Polk,All Sites,469.50,
Black,2018-2022,Female,Not Polk,All Sites,460.90,0.6655
American Indian/Alaska Native,2018-2022,Female,Not Polk,All Sites,458.80,0.8636
Asian or Pacific Islander,2018-2022,Female,Not Polk,All Sites,327.80,0.0000
Hispanic,2018-2022,Female,Not Polk,All Sites,284.30,0.0000
White,2003-2007,Male and Female,Polk County,Lung and Bronchus,82.10,
Black,2003-2007,Male and Female,Polk County,Lung and Bronchus,109.30,0.0282
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Lung and Bronchus,201.00,0.2320
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Lung and Bronchus,22.30,0.0007
Hispanic,2003-2007,Male and Female,Polk County,Lung and Bronchus,31.40,0.0027
White,2003-2007,Male,Polk County,Lung and Bronchus,99.20,
Black,2003-2007,Male,Polk County,Lung and Bronchus,152.20,0.0197
American Indian/Alaska Native,2003-2007,Male,Polk County,Lung and Bronchus,33.40,0.6947
Asian or Pacific Islander,2003-2007,Male,Polk County,Lung and Bronchus,51.90,0.2113
Hispanic,2003-2007,Male,Polk County,Lung and Bronchus,13.50,0.0015
White,2003-2007,Female,Polk County,Lung and Bronchus,70.40,
Black,2003-2007,Female,Polk County,Lung and Bronchus,80.90,0.5181
American Indian/Alaska Native,2003-2007,Female,Polk County,Lung and Bronchus,442.70,0.0337
Asian or Pacific Islander,2003-2007,Female,Polk County,Lung and Bronchus,3.90,0.0000
Hispanic,2003-2007,Female,Polk County,Lung and Bronchus,49.40,0.4012
White,2008-2012,Male and Female,Polk County,Lung and Bronchus,76.10,
Black,2008-2012,Male and Female,Polk County,Lung and Bronchus,98.90,0.0476
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Lung and Bronchus,124.90,0.5559
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Lung and Bronchus,53.50,0.1464
Hispanic,2008-2012,Male and Female,Polk County,Lung and Bronchus,52.00,0.1284
White,2008-2012,Male,Polk County,Lung and Bronchus,89.00,
Black,2008-2012,Male,Polk County,Lung and Bronchus,118.40,0.1659
American Indian/Alaska Native,2008-2012,Male,Polk County,Lung and Bronchus,171.00,0.5821
Asian or Pacific Islander,2008-2012,Male,Polk County,Lung and Bronchus,79.80,0.7850
Hispanic,2008-2012,Male,Polk County,Lung and Bronchus,66.70,0.4182
White,2008-2012,Female,Polk County,Lung and Bronchus,67.30,
Black,2008-2012,Female,Polk County,Lung and Bronchus,88.40,0.1515
American Indian/Alaska Native,2008-2012,Female,Polk County,Lung and Bronchus,119.00,0.8652
Asian or Pacific Islander,2008-2012,Female,Polk County,Lung and Bronchus,27.40,0.0434
Hispanic,2008-2012,Female,Polk County,Lung and Bronchus,39.70,0.1528
White,2013-2017,Male and Female,Polk County,Lung and Bronchus,69.90,
Black,2013-2017,Male and Female,Polk County,Lung and Bronchus,97.90,0.0105
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Lung and Bronchus,113.50,0.6067
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Lung and Bronchus,52.40,0.1617
Hispanic,2013-2017,Male and Female,Polk County,Lung and Bronchus,53.20,0.2569
White,2013-2017,Male,Polk County,Lung and Bronchus,84.00,
Black,2013-2017,Male,Polk County,Lung and Bronchus,123.60,0.0532
American Indian/Alaska Native,2013-2017,Male,Polk County,Lung and Bronchus,46.10,1.0000
Asian or Pacific Islander,2013-2017,Male,Polk County,Lung and Bronchus,81.10,0.9593
Hispanic,2013-2017,Male,Polk County,Lung and Bronchus,58.60,0.2861
White,2013-2017,Female,Polk County,Lung and Bronchus,59.80,
Black,2013-2017,Female,Polk County,Lung and Bronchus,84.60,0.0694
American Indian/Alaska Native,2013-2017,Female,Polk County,Lung and Bronchus,155.40,0.3684
Asian or Pacific Islander,2013-2017,Female,Polk County,Lung and Bronchus,32.00,0.0637
Hispanic,2013-2017,Female,Polk County,Lung and Bronchus,49.70,0.5993
White,2018-2022,Male and Female,Polk County,Lung and Bronchus,62.60,
Black,2018-2022,Male and Female,Polk County,Lung and Bronchus,74.20,0.2451
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Lung and Bronchus,415.80,0.0060
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Lung and Bronchus,55.90,0.5580
Hispanic,2018-2022,Male and Female,Polk County,Lung and Bronchus,43.80,0.0876
White,2018-2022,Male,Polk County,Lung and Bronchus,67.30,
Black,2018-2022,Male,Polk County,Lung and Bronchus,92.10,0.1870
American Indian/Alaska Native,2018-2022,Male,Polk County,Lung and Bronchus,297.40,0.4055
Asian or Pacific Islander,2018-2022,Male,Polk County,Lung and Bronchus,84.90,0.3663
Hispanic,2018-2022,Male,Polk County,Lung and Bronchus,57.90,0.6136
White,2018-2022,Female,Polk County,Lung and Bronchus,59.40,
Black,2018-2022,Female,Polk County,Lung and Bronchus,66.00,0.6299
American Indian/Alaska Native,2018-2022,Female,Polk County,Lung and Bronchus,488.30,0.0103
Asian or Pacific Islander,2018-2022,Female,Polk County,Lung and Bronchus,33.20,0.0359
Hispanic,2018-2022,Female,Polk County,Lung and Bronchus,31.70,0.0354
White,2003-2007,Male and Female,Not Polk,Lung and Bronchus,68.20,
Black,2003-2007,Male and Female,Not Polk,Lung and Bronchus,105.40,0.0000
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Lung and Bronchus,72.20,0.9489
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Lung and Bronchus,45.40,0.0463
Hispanic,2003-2007,Male and Female,Not Polk,Lung and Bronchus,27.80,0.0000
White,2003-2007,Male,Not Polk,Lung and Bronchus,88.90,
Black,2003-2007,Male,Not Polk,Lung and Bronchus,158.40,0.0000
American Indian/Alaska Native,2003-2007,Male,Not Polk,Lung and Bronchus,78.90,0.8457
Asian or Pacific Islander,2003-2007,Male,Not Polk,Lung and Bronchus,53.10,0.1168
Hispanic,2003-2007,Male,Not Polk,Lung and Bronchus,40.00,0.0000
White,2003-2007,Female,Not Polk,Lung and Bronchus,53.00,
Black,2003-2007,Female,Not Polk,Lung and Bronchus,61.70,0.3731
American Indian/Alaska Native,2003-2007,Female,Not Polk,Lung and Bronchus,93.10,0.2387
Asian or Pacific Islander,2003-2007,Female,Not Polk,Lung and Bronchus,42.70,0.4842
Hispanic,2003-2007,Female,Not Polk,Lung and Bronchus,17.50,0.0000
White,2008-2012,Male and Female,Not Polk,Lung and Bronchus,65.60,
Black,2008-2012,Male and Female,Not Polk,Lung and Bronchus,91.00,0.0006
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Lung and Bronchus,130.20,0.0035
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Lung and Bronchus,41.50,0.0098
Hispanic,2008-2012,Male and Female,Not Polk,Lung and Bronchus,22.90,0.0000
White,2008-2012,Male,Not Polk,Lung and Bronchus,82.10,
Black,2008-2012,Male,Not Polk,Lung and Bronchus,94.10,0.3373
American Indian/Alaska Native,2008-2012,Male,Not Polk,Lung and Bronchus,80.50,1.0000
Asian or Pacific Islander,2008-2012,Male,Not Polk,Lung and Bronchus,55.00,0.1779
Hispanic,2008-2012,Male,Not Polk,Lung and Bronchus,27.80,0.0000
White,2008-2012,Female,Not Polk,Lung and Bronchus,52.90,
Black,2008-2012,Female,Not Polk,Lung and Bronchus,88.40,0.0002
American Indian/Alaska Native,2008-2012,Female,Not Polk,Lung and Bronchus,156.40,0.0003
Asian or Pacific Islander,2008-2012,Female,Not Polk,Lung and Bronchus,36.90,0.1339
Hispanic,2008-2012,Female,Not Polk,Lung and Bronchus,19.90,0.0000
White,2013-2017,Male and Female,Not Polk,Lung and Bronchus,64.50,
Black,2013-2017,Male and Female,Not Polk,Lung and Bronchus,75.70,0.0706
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Lung and Bronchus,70.30,0.7644
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Lung and Bronchus,34.80,0.0001
Hispanic,2013-2017,Male and Female,Not Polk,Lung and Bronchus,18.40,0.0000
White,2013-2017,Male,Not Polk,Lung and Bronchus,75.40,
Black,2013-2017,Male,Not Polk,Lung and Bronchus,93.50,0.0691
American Indian/Alaska Native,2013-2017,Male,Not Polk,Lung and Bronchus,87.60,0.7050
Asian or Pacific Islander,2013-2017,Male,Not Polk,Lung and Bronchus,51.00,0.0915
Hispanic,2013-2017,Male,Not Polk,Lung and Bronchus,19.20,0.0000
White,2013-2017,Female,Not Polk,Lung and Bronchus,56.30,
Black,2013-2017,Female,Not Polk,Lung and Bronchus,57.90,0.8634
American Indian/Alaska Native,2013-2017,Female,Not Polk,Lung and Bronchus,55.90,1.0000
Asian or Pacific Islander,2013-2017,Female,Not Polk,Lung and Bronchus,24.70,0.0002
Hispanic,2013-2017,Female,Not Polk,Lung and Bronchus,17.70,0.0000
White,2018-2022,Male and Female,Not Polk,Lung and Bronchus,60.60,
Black,2018-2022,Male and Female,Not Polk,Lung and Bronchus,80.20,0.0005
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Lung and Bronchus,52.40,0.5788
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Lung and Bronchus,31.20,0.0000
Hispanic,2018-2022,Male and Female,Not Polk,Lung and Bronchus,21.50,0.0000
White,2018-2022,Male,Not Polk,Lung and Bronchus,68.40,
Black,2018-2022,Male,Not Polk,Lung and Bronchus,76.40,0.3678
American Indian/Alaska Native,2018-2022,Male,Not Polk,Lung and Bronchus,36.00,0.1205
Asian or Pacific Islander,2018-2022,Male,Not Polk,Lung and Bronchus,25.70,0.0000
Hispanic,2018-2022,Male,Not Polk,Lung and Bronchus,21.00,0.0000
White,2018-2022,Female,Not Polk,Lung and Bronchus,54.60,
Black,2018-2022,Female,Not Polk,Lung and Bronchus,83.90,0.0001
American Indian/Alaska Native,2018-2022,Female,Not Polk,Lung and Bronchus,66.20,0.5131
Asian or Pacific Islander,2018-2022,Female,Not Polk,Lung and Bronchus,34.70,0.0076
Hispanic,2018-2022,Female,Not Polk,Lung and Bronchus,22.10,0.0000
White,2003-2007,Male and Female,Polk County,Melanoma,14.90,
Black,2003-2007,Male and Female,Polk County,Melanoma,1.70,0.0011
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Melanoma,36.10,0.6783
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Melanoma,3.40,0.0845
Hispanic,2003-2007,Male and Female,Polk County,Melanoma,1.40,0.0242
White,2003-2007,Male,Polk County,Melanoma,18.70,
Black,2003-2007,Male,Polk County,Melanoma,3.70,0.0683
American Indian/Alaska Native,2003-2007,Male,Polk County,Melanoma,62.30,0.5221
Asian or Pacific Islander,2003-2007,Male,Polk County,Melanoma,0.00,0.1841
Hispanic,2003-2007,Male,Polk County,Melanoma,0.00,0.1816
White,2003-2007,Female,Polk County,Melanoma,12.20,
Black,2003-2007,Female,Polk County,Melanoma,0.00,0.0098
American Indian/Alaska Native,2003-2007,Female,Polk County,Melanoma,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Melanoma,7.20,0.8027
Hispanic,2003-2007,Female,Polk County,Melanoma,3.10,0.3330
White,2008-2012,Male and Female,Polk County,Melanoma,19.60,
Black,2008-2012,Male and Female,Polk County,Melanoma,0.00,0.0000
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Melanoma,0.00,0.8386
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Melanoma,0.00,0.0011
Hispanic,2008-2012,Male and Female,Polk County,Melanoma,1.40,0.0004
White,2008-2012,Male,Polk County,Melanoma,25.30,
Black,2008-2012,Male,Polk County,Melanoma,0.00,0.0017
American Indian/Alaska Native,2008-2012,Male,Polk County,Melanoma,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male,Polk County,Melanoma,0.00,0.0562
Hispanic,2008-2012,Male,Polk County,Melanoma,1.40,0.0262
White,2008-2012,Female,Polk County,Melanoma,16.00,
Black,2008-2012,Female,Polk County,Melanoma,0.00,0.0007
American Indian/Alaska Native,2008-2012,Female,Polk County,Melanoma,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Melanoma,0.00,0.0419
Hispanic,2008-2012,Female,Polk County,Melanoma,1.30,0.0468
White,2013-2017,Male and Female,Polk County,Melanoma,23.90,
Black,2013-2017,Male and Female,Polk County,Melanoma,1.00,0.0000
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Melanoma,0.00,0.8618
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Melanoma,1.10,0.0000
Hispanic,2013-2017,Male and Female,Polk County,Melanoma,3.70,0.0002
White,2013-2017,Male,Polk County,Melanoma,29.00,
Black,2013-2017,Male,Polk County,Melanoma,0.00,0.0004
American Indian/Alaska Native,2013-2017,Male,Polk County,Melanoma,0.00,1.0000
Asian or Pacific Islander,2013-2017,Male,Polk County,Melanoma,0.00,0.0076
Hispanic,2013-2017,Male,Polk County,Melanoma,0.00,0.0027
White,2013-2017,Female,Polk County,Melanoma,20.40,
Black,2013-2017,Female,Polk County,Melanoma,1.80,0.0005
American Indian/Alaska Native,2013-2017,Female,Polk County,Melanoma,0.00,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Melanoma,2.30,0.0114
Hispanic,2013-2017,Female,Polk County,Melanoma,7.60,0.1205
White,2018-2022,Male and Female,Polk County,Melanoma,28.80,
Black,2018-2022,Male and Female,Polk County,Melanoma,2.50,0.0000
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Melanoma,23.80,1.0000
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Melanoma,0.70,0.0000
Hispanic,2018-2022,Male and Female,Polk County,Melanoma,4.10,0.0000
White,2018-2022,Male,Polk County,Melanoma,35.10,
Black,2018-2022,Male,Polk County,Melanoma,5.50,0.0041
American Indian/Alaska Native,2018-2022,Male,Polk County,Melanoma,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Melanoma,1.40,0.0004
Hispanic,2018-2022,Male,Polk County,Melanoma,1.40,0.0000
White,2018-2022,Female,Polk County,Melanoma,25.00,
Black,2018-2022,Female,Polk County,Melanoma,0.00,0.0000
American Indian/Alaska Native,2018-2022,Female,Polk County,Melanoma,39.40,0.9414
Asian or Pacific Islander,2018-2022,Female,Polk County,Melanoma,0.00,0.0003
Hispanic,2018-2022,Female,Polk County,Melanoma,7.00,0.0072
White,2003-2007,Male and Female,Not Polk,Melanoma,19.70,
Black,2003-2007,Male and Female,Not Polk,Melanoma,0.00,0.0000
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Melanoma,10.60,0.5080
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Melanoma,0.60,0.0002
Hispanic,2003-2007,Male and Female,Not Polk,Melanoma,2.00,0.0000
White,2003-2007,Male,Not Polk,Melanoma,23.20,
Black,2003-2007,Male,Not Polk,Melanoma,0.00,0.0000
American Indian/Alaska Native,2003-2007,Male,Not Polk,Melanoma,0.00,0.3342
Asian or Pacific Islander,2003-2007,Male,Not Polk,Melanoma,0.00,0.0170
Hispanic,2003-2007,Male,Not Polk,Melanoma,1.80,0.0000
White,2003-2007,Female,Not Polk,Melanoma,17.50,
Black,2003-2007,Female,Not Polk,Melanoma,0.00,0.0000
American Indian/Alaska Native,2003-2007,Female,Not Polk,Melanoma,20.30,1.0000
Asian or Pacific Islander,2003-2007,Female,Not Polk,Melanoma,1.10,0.0210
Hispanic,2003-2007,Female,Not Polk,Melanoma,2.20,0.0001
White,2008-2012,Male and Female,Not Polk,Melanoma,25.70,
Black,2008-2012,Male and Female,Not Polk,Melanoma,1.70,0.0000
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Melanoma,8.60,0.0982
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Melanoma,0.40,0.0000
Hispanic,2008-2012,Male and Female,Not Polk,Melanoma,3.40,0.0000
White,2008-2012,Male,Not Polk,Melanoma,29.30,
Black,2008-2012,Male,Not Polk,Melanoma,4.30,0.0007
American Indian/Alaska Native,2008-2012,Male,Not Polk,Melanoma,9.90,0.4092
Asian or Pacific Islander,2008-2012,Male,Not Polk,Melanoma,0.90,0.0009
Hispanic,2008-2012,Male,Not Polk,Melanoma,1.00,0.0000
White,2008-2012,Female,Not Polk,Melanoma,23.60,
Black,2008-2012,Female,Not Polk,Melanoma,0.80,0.0000
American Indian/Alaska Native,2008-2012,Female,Not Polk,Melanoma,6.50,0.2753
Asian or Pacific Islander,2008-2012,Female,Not Polk,Melanoma,0.00,0.0001
Hispanic,2008-2012,Female,Not Polk,Melanoma,5.70,0.0000
White,2013-2017,Male and Female,Not Polk,Melanoma,29.90,
Black,2013-2017,Male and Female,Not Polk,Melanoma,0.30,0.0000
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Melanoma,6.60,0.0051
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Melanoma,0.00,0.0000
Hispanic,2013-2017,Male and Female,Not Polk,Melanoma,3.50,0.0000
White,2013-2017,Male,Not Polk,Melanoma,33.30,
Black,2013-2017,Male,Not Polk,Melanoma,0.60,0.0000
American Indian/Alaska Native,2013-2017,Male,Not Polk,Melanoma,3.80,0.0501
Asian or Pacific Islander,2013-2017,Male,Not Polk,Melanoma,0.00,0.0000
Hispanic,2013-2017,Male,Not Polk,Melanoma,4.60,0.0000
White,2013-2017,Female,Not Polk,Melanoma,28.20,
Black,2013-2017,Female,Not Polk,Melanoma,0.00,0.0000
American Indian/Alaska Native,2013-2017,Female,Not Polk,Melanoma,9.10,0.1538
Asian or Pacific Islander,2013-2017,Female,Not Polk,Melanoma,0.00,0.0000
Hispanic,2013-2017,Female,Not Polk,Melanoma,2.40,0.0000
White,2018-2022,Male and Female,Not Polk,Melanoma,34.30,
Black,2018-2022,Male and Female,Not Polk,Melanoma,1.80,0.0000
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Melanoma,11.40,0.0079
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Melanoma,1.00,0.0000
Hispanic,2018-2022,Male and Female,Not Polk,Melanoma,4.00,0.0000
White,2018-2022,Male,Not Polk,Melanoma,37.90,
Black,2018-2022,Male,Not Polk,Melanoma,2.80,0.0000
American Indian/Alaska Native,2018-2022,Male,Not Polk,Melanoma,15.50,0.1456
Asian or Pacific Islander,2018-2022,Male,Not Polk,Melanoma,0.70,0.0000
Hispanic,2018-2022,Male,Not Polk,Melanoma,2.10,0.0000
White,2018-2022,Female,Not Polk,Melanoma,32.50,
Black,2018-2022,Female,Not Polk,Melanoma,1.00,0.0000
American Indian/Alaska Native,2018-2022,Female,Not Polk,Melanoma,8.50,0.0432
Asian or Pacific Islander,2018-2022,Female,Not Polk,Melanoma,1.20,0.0000
Hispanic,2018-2022,Female,Not Polk,Melanoma,5.90,0.0000
White,2003-2007,Female,Polk County,Breast,132.60,
Black,2003-2007,Female,Polk County,Breast,95.50,0.0480
American Indian/Alaska Native,2003-2007,Female,Polk County,Breast,84.70,0.9385
Asian or Pacific Islander,2003-2007,Female,Polk County,Breast,35.10,0.0000
Hispanic,2003-2007,Female,Polk County,Breast,140.60,0.8587
White,2008-2012,Female,Polk County,Breast,137.10,
Black,2008-2012,Female,Polk County,Breast,111.60,0.1540
American Indian/Alaska Native,2008-2012,Female,Polk County,Breast,87.00,0.8300
Asian or Pacific Islander,2008-2012,Female,Polk County,Breast,55.60,0.0001
Hispanic,2008-2012,Female,Polk County,Breast,97.70,0.0671
White,2013-2017,Female,Polk County,Breast,130.50,
